Path [0001]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK', 'KUL']
Distance	:	14479.26005127122 km

Path [0002]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'PEK', 'KOR', 'KUL']
Distance	:	15637.689392423541 km

Path [0003]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TPE', 'KOR', 'TOK', 'PEK', 'KUL']
Distance	:	15017.692174546504 km

Path [0004]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TPE', 'KOR', 'PEK', 'TOK', 'KUL']
Distance	:	15718.019221468912 km

Path [0005]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TPE', 'PEK', 'TOK', 'KOR', 'KUL']
Distance	:	15487.117603328843 km

Path [0006]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TPE', 'PEK', 'KOR', 'TOK', 'KUL']
Distance	:	15029.01530909893 km

Path [0007]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TOK', 'TPE', 'KOR', 'PEK', 'KUL']
Distance	:	16822.711949390632 km

Path [0008]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TOK', 'TPE', 'PEK', 'KOR', 'KUL']
Distance	:	17292.13737817297 km

Path [0009]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TOK', 'KOR', 'TPE', 'PEK', 'KUL']
Distance	:	16672.140160295934 km

Path [0010]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TOK', 'KOR', 'PEK', 'TPE', 'KUL']
Distance	:	15021.247018487858 km

Path [0011]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TOK', 'PEK', 'TPE', 'KOR', 'KUL']
Distance	:	17830.569501448255 km

Path [0012]	:	['KUL', 'JAK', 'BKK', 'HKG', 'TOK', 'PEK', 'KOR', 'TPE', 'KUL']
Distance	:	15710.250930857841 km

Path [0013]	:	['KUL', 'JAK', 'BKK', 'HKG', 'KOR', 'TPE', 'TOK', 'PEK', 'KUL']
Distance	:	17186.1109775902 km

Path [0014]	:	['KUL', 'JAK', 'BKK', 'HKG', 'KOR', 'TPE', 'PEK', 'TOK', 'KUL']
Distance	:	17735.86623541791 km

Path [0015]	:	['KUL', 'JAK', 'BKK', 'HKG', 'KOR', 'TOK', 'TPE', 'PEK', 'KUL']
Distance	:	16497.107065220218 km

