Path [0001]	:	['JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, -1.68, -1.927, -1.449, -1.768, 2.778]

Path [0002]	:	['JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.68, -1.927, -1.449, 2.778, -1.768]

Path [0003]	:	['JAK', 'BKK', 'HKG', 'TPE', 'KOR', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.453, -1.68, -1.927, -1.768, -1.449, 2.778]

Path [0004]	:	['JAK', 'BKK', 'HKG', 'TPE', 'KOR', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.453, -1.68, -1.927, -1.768, 2.778, -1.449]

Path [0005]	:	['JAK', 'BKK', 'HKG', 'TPE', 'PEK', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.68, -1.927, 2.778, -1.449, -1.768]

Path [0006]	:	['JAK', 'BKK', 'HKG', 'TPE', 'PEK', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.453, -1.68, -1.927, 2.778, -1.768, -1.449]

Path [0007]	:	['JAK', 'BKK', 'HKG', 'TOK', 'TPE', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, -1.68, -1.449, -1.927, -1.768, 2.778]

Path [0008]	:	['JAK', 'BKK', 'HKG', 'TOK', 'TPE', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.68, -1.449, -1.927, 2.778, -1.768]

Path [0009]	:	['JAK', 'BKK', 'HKG', 'TOK', 'KOR', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.453, -1.68, -1.449, -1.768, -1.927, 2.778]

Path [0010]	:	['JAK', 'BKK', 'HKG', 'TOK', 'KOR', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.68, -1.449, -1.768, 2.778, -1.927]

Path [0011]	:	['JAK', 'BKK', 'HKG', 'TOK', 'PEK', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.453, -1.68, -1.449, 2.778, -1.927, -1.768]

Path [0012]	:	['JAK', 'BKK', 'HKG', 'TOK', 'PEK', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.453, -1.68, -1.449, 2.778, -1.768, -1.927]

Path [0013]	:	['JAK', 'BKK', 'HKG', 'KOR', 'TPE', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.453, -1.68, -1.768, -1.927, -1.449, 2.778]

Path [0014]	:	['JAK', 'BKK', 'HKG', 'KOR', 'TPE', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.453, -1.68, -1.768, -1.927, 2.778, -1.449]

Path [0015]	:	['JAK', 'BKK', 'HKG', 'KOR', 'TOK', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.453, -1.68, -1.768, -1.449, -1.927, 2.778]

Path [0016]	:	['JAK', 'BKK', 'HKG', 'KOR', 'TOK', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.68, -1.768, -1.449, 2.778, -1.927]

Path [0017]	:	['JAK', 'BKK', 'HKG', 'KOR', 'PEK', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.453, -1.68, -1.768, 2.778, -1.927, -1.449]

Path [0018]	:	['JAK', 'BKK', 'HKG', 'KOR', 'PEK', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.68, -1.768, 2.778, -1.449, -1.927]

Path [0019]	:	['JAK', 'BKK', 'HKG', 'PEK', 'TPE', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.68, 2.778, -1.927, -1.449, -1.768]

Path [0020]	:	['JAK', 'BKK', 'HKG', 'PEK', 'TPE', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.453, -1.68, 2.778, -1.927, -1.768, -1.449]

Path [0021]	:	['JAK', 'BKK', 'HKG', 'PEK', 'TOK', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.453, -1.68, 2.778, -1.449, -1.927, -1.768]

Path [0022]	:	['JAK', 'BKK', 'HKG', 'PEK', 'TOK', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.453, -1.68, 2.778, -1.449, -1.768, -1.927]

Path [0023]	:	['JAK', 'BKK', 'HKG', 'PEK', 'KOR', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.453, -1.68, 2.778, -1.768, -1.927, -1.449]

Path [0024]	:	['JAK', 'BKK', 'HKG', 'PEK', 'KOR', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.68, 2.778, -1.768, -1.449, -1.927]

Path [0025]	:	['JAK', 'BKK', 'TPE', 'HKG', 'TOK', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, -1.927, -1.68, -1.449, -1.768, 2.778]

Path [0026]	:	['JAK', 'BKK', 'TPE', 'HKG', 'TOK', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.927, -1.68, -1.449, 2.778, -1.768]

Path [0027]	:	['JAK', 'BKK', 'TPE', 'HKG', 'KOR', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.453, -1.927, -1.68, -1.768, -1.449, 2.778]

Path [0028]	:	['JAK', 'BKK', 'TPE', 'HKG', 'KOR', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.453, -1.927, -1.68, -1.768, 2.778, -1.449]

Path [0029]	:	['JAK', 'BKK', 'TPE', 'HKG', 'PEK', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.927, -1.68, 2.778, -1.449, -1.768]

Path [0030]	:	['JAK', 'BKK', 'TPE', 'HKG', 'PEK', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.453, -1.927, -1.68, 2.778, -1.768, -1.449]

Path [0031]	:	['JAK', 'BKK', 'TPE', 'TOK', 'HKG', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, -1.927, -1.449, -1.68, -1.768, 2.778]

Path [0032]	:	['JAK', 'BKK', 'TPE', 'TOK', 'HKG', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.927, -1.449, -1.68, 2.778, -1.768]

Path [0033]	:	['JAK', 'BKK', 'TPE', 'TOK', 'KOR', 'HKG', 'PEK']
Sentiment	:	[3.029, -1.453, -1.927, -1.449, -1.768, -1.68, 2.778]

Path [0034]	:	['JAK', 'BKK', 'TPE', 'TOK', 'KOR', 'PEK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.927, -1.449, -1.768, 2.778, -1.68]

Path [0035]	:	['JAK', 'BKK', 'TPE', 'TOK', 'PEK', 'HKG', 'KOR']
Sentiment	:	[3.029, -1.453, -1.927, -1.449, 2.778, -1.68, -1.768]

Path [0036]	:	['JAK', 'BKK', 'TPE', 'TOK', 'PEK', 'KOR', 'HKG']
Sentiment	:	[3.029, -1.453, -1.927, -1.449, 2.778, -1.768, -1.68]

Path [0037]	:	['JAK', 'BKK', 'TPE', 'KOR', 'HKG', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.453, -1.927, -1.768, -1.68, -1.449, 2.778]

Path [0038]	:	['JAK', 'BKK', 'TPE', 'KOR', 'HKG', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.453, -1.927, -1.768, -1.68, 2.778, -1.449]

Path [0039]	:	['JAK', 'BKK', 'TPE', 'KOR', 'TOK', 'HKG', 'PEK']
Sentiment	:	[3.029, -1.453, -1.927, -1.768, -1.449, -1.68, 2.778]

Path [0040]	:	['JAK', 'BKK', 'TPE', 'KOR', 'TOK', 'PEK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.927, -1.768, -1.449, 2.778, -1.68]

Path [0041]	:	['JAK', 'BKK', 'TPE', 'KOR', 'PEK', 'HKG', 'TOK']
Sentiment	:	[3.029, -1.453, -1.927, -1.768, 2.778, -1.68, -1.449]

Path [0042]	:	['JAK', 'BKK', 'TPE', 'KOR', 'PEK', 'TOK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.927, -1.768, 2.778, -1.449, -1.68]

Path [0043]	:	['JAK', 'BKK', 'TPE', 'PEK', 'HKG', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.927, 2.778, -1.68, -1.449, -1.768]

